news_id	retweets	favourites	total tweets	12h	24h	48h	7 days	rest
80	0	0	28	4	10	5	5	4
1387	0	1	5	3	1	1	0	0
194	0	0	3	1	2	0	0	0
138	0	0	12	1	8	3	0	0
842	0	0	273	9	3	6	10	245
1020	0	0	47	1	0	0	0	46
660	0	0	81	4	6	22	38	11
827	0	0	3	3	0	0	0	0
976	0	0	411	1	0	0	46	364
711	0	2	9	1	0	0	0	8
1746	0	4	22	16	4	1	1	0
824	0	0	16	4	10	1	0	1
1149	0	0	3	3	0	0	0	0
1916	0	0	3	2	0	1	0	0
704	0	18	24	3	2	6	11	2
324	1	0	109	1	0	0	0	108
32	0	0	128	1	0	3	18	106
1146	0	14	9	1	0	3	3	2
725	0	0	130	2	2	6	4	116
1065	0	0	32	1	0	14	17	0
875	0	0	24	1	2	10	11	0
301	0	0	40	5	13	4	4	14
597	0	0	5	1	0	0	0	4
133	0	1	12	2	0	0	0	10
409	0	9	3	1	0	0	0	2
1084	0	0	41	1	0	0	0	40
85	0	0	25	3	9	1	1	11
296	0	0	144	3	0	6	25	110
18	0	0	13	2	0	3	8	0
1801	0	2	12	5	5	2	0	0
213	0	0	1784	50	11	6	44	1673
669	0	0	13	13	0	0	0	0
200	0	0	3	3	0	0	0	0
36	0	0	670	3	16	23	79	549
322	0	0	355	1	0	0	45	309
1110	0	0	6	1	0	0	0	5
816	0	0	4	1	0	0	3	0
1114	0	1	9	6	1	0	2	0
1911	0	3	9	3	4	1	1	0
1013	0	0	94	5	1	4	3	81
106	0	0	74	1	0	4	1	68
979	3	5	3	1	0	1	0	1
64	0	0	42	25	13	3	1	0
1197	4	6	131	73	27	25	5	1
254	0	0	15	2	0	0	0	13
701	0	0	8	6	0	2	0	0
1	0	0	14	10	0	2	2	0
868	0	0	15	7	3	4	1	0
969	0	296	5	1	0	0	0	4
707	0	0	5	1	0	0	0	4
821	0	0	104	12	70	13	9	0
180	0	0	4	4	0	0	0	0
199	0	0	131	50	59	20	2	0
261	0	0	200	1	0	0	0	199
1178	0	0	5	2	0	3	0	0
1233	11	14	7	3	2	1	1	0
826	0	0	300	79	177	30	10	4
983	0	0	788	8	0	6	59	715
287	0	0	26	1	0	1	7	17
609	0	2	32	22	8	2	0	0
1071	0	0	14	1	0	0	0	13
659	0	3	29	4	0	0	2	23
220	0	0	22	17	2	3	0	0
1496	0	40	6	1	3	1	0	1
548	0	0	135	12	9	26	79	9
737	0	0	7	2	0	3	2	0
189	0	0	10	7	3	0	0	0
83	0	0	16	1	0	2	2	11
708	0	0	4	4	0	0	0	0
570	1	19	37	16	7	2	5	7
184	0	0	13	2	0	0	6	5
295	0	0	130	128	2	0	0	0
314	0	0	417	5	8	14	3	387
1141	0	0	27	3	0	12	12	0
219	1	1	8	3	3	0	2	0
162	0	0	4	3	0	1	0	0
928	2	45	148	1	0	0	0	147
7	0	0	100	1	0	0	0	99
307	0	0	30	16	10	3	0	1
171	0	0	44	1	0	0	0	43
1046	0	4	75	3	1	17	17	37
1027	0	0	417	5	8	14	3	387
634	0	0	33	16	3	4	3	7
1025	0	0	214	1	1	11	25	176
155	0	0	4	2	1	1	0	0
196	0	0	3	2	0	0	0	1
994	0	0	5	1	0	0	0	4
807	0	0	45	1	0	0	0	44
42	0	1	280	39	63	82	82	14
285	0	30	12	5	0	0	0	7
303	0	0	8	5	2	0	1	0
177	0	0	75	7	64	3	1	0
176	7	26	7	5	1	0	0	1
1385	0	0	312	126	118	47	12	9
1803	2	0	10	2	1	0	0	7
805	0	0	109	9	12	22	25	41
299	0	0	3	3	0	0	0	0
978	0	0	56	17	25	9	0	5
1002	0	0	3	1	0	0	0	2
964	0	0	49	1	0	0	0	48
822	5	0	371	1	0	0	0	370
693	0	0	4	3	1	0	0	0
182	0	0	107	90	10	5	1	1
258	0	19	11	2	5	3	0	1
1210	96	1585	14	6	6	1	0	1
120	5	10	4	1	0	0	0	3
2144	0	0	3	1	0	0	2	0
855	0	0	938	20	10	17	84	807
823	0	0	44	1	0	0	1	42
583	0	1	13	13	0	0	0	0
732	0	84	18	3	8	4	1	2
838	0	0	6	3	0	1	1	1
819	0	0	519	6	12	7	27	467
956	0	2	20	1	0	0	0	19
228	0	0	157	14	10	2	7	124
627	2	4	4	1	0	0	0	3
615	0	0	161	12	11	8	6	124
663	1	5	3	1	0	0	0	2
190	0	45	4	2	0	2	0	0
499	0	2	4	1	0	0	0	3
837	0	45	4	2	0	2	0	0
588	0	1	7	3	1	0	3	0
277	0	0	67	1	0	0	0	66
955	0	0	32	1	17	9	5	0
1877	0	1	38	3	0	0	28	7
1199	0	0	25	18	7	0	0	0
556	0	0	68	1	0	0	1	66
174	0	0	104	12	70	13	9	0
